Name,City,DOB (D/M/Y),TOB (H/M/S),Longitude,Latitude,Timezone
2000,GREENWICH,01/01/2000,0:00:00,0,51.47,1
1900,GREENWICH,01/01/1900,0:00:00,0,51.47,1
1800,GREENWICH,01/01/1900,0:00:00,0,51.47,1
1700,GREENWICH,01/01/1900,0:00:00,0,51.47,1
1600,GREENWICH,01/01/1900,0:00:00,0,51.47,1
1500,GREENWICH,01/01/1900,0:00:00,0,51.47,1
1400,GREENWICH,01/01/1900,0:00:00,0,51.47,1
1300,GREENWICH,01/01/1900,0:00:00,0,51.47,1
1200,GREENWICH,01/01/1900,0:00:00,0,51.47,1
1100,GREENWICH,01/01/1900,0:00:00,0,51.47,1
1000,GREENWICH,01/01/1900,0:00:00,0,51.47,1
900,GREENWICH,01/01/1900,0:00:00,0,51.47,1
800,GREENWICH,01/01/1900,0:00:00,0,51.47,1
700,GREENWICH,01/01/1900,0:00:00,0,51.47,1
600,GREENWICH,01/01/1900,0:00:00,0,51.47,1
500,GREENWICH,01/01/1900,0:00:00,0,51.47,1
400,GREENWICH,01/01/1900,0:00:00,0,51.47,1
300,GREENWICH,01/01/1900,0:00:00,0,51.47,1
200,GREENWICH,01/01/1900,0:00:00,0,51.47,1
100,GREENWICH,01/01/1900,0:00:00,0,51.47,1
