Name,City,DOB (D/M/Y),TOB (H/M/S),Longitude,Latitude,Timezone
IPL,Bengaluru,18/04/2008,20:00:00,77.5946,12.9716,5.5
Kolkata Knight Riders,Bengaluru,18/04/2008,20:00:00,77.5946 E,12.9716 N,5.5
Royal Challengers Bangalore,Bengaluru,18/04/2008,20:00:00,77.5946 E,12.9716 N,5.5
Chennai Super Kings,Chandigarh,19/04/2008,16:00:00,76.7794 E,30.7333 N,5.5
Kings XI Punjab,Chandigarh,19/04/2008,16:00:00,76.7794 E,30.7333 N,5.5
Delhi Daredevils,Delhi,19/04/2008,20:00:00,77.1025 E,28.7041 N,5.5
Rajasthan Royals,Delhi,19/04/2008,20:00:00,77.1025 E,28.7041 N,5.5
Mumbai Indians,Mumbai,20/04/2008,20:00:00,72.8777 E,19.0760 N,5.5
Deccan Chargers,Mumbai,20/04/2008,20:00:00,72.8777 E,19.0760 N,5.5
Kochi Tuskers Kerala,Kochi,09/04/2011,20:00:00,76.2673 E,9.9312 N,5.5
Pune Warriors India,Navi Mumbai,10/04/2011,16:00:00,73.0297 E,19.0330 N,5.5
Sunrisers Hyderabad,Pune,05/04/2013,20:00:00,73.8567 E,18.5204 N,5.5
Rising Pune Supergiants,Pune,09/04/2016,20:00:00,73.8567 E,18.5204 N,5.5
Gujarat Lions,Mohali,11/04/2016,20:00:00,76.7179 E,30.7046 N,5.5
Lucknow Super Giants,Mumbai,28/03/2022,19:30:00,72.8777 E,19.0760 N,5.5
Gujarat Titans,Mumbai,28/03/2022,19:30:00,72.8777 E,19.0760 N,5.5
